ASL_RICHIEDENTE,DATA_ARRIVO,IN_CORSO,ESAMINATI,TOTALE,AGGIORNAMENTO
CH,2020-11-16,0,1256,1256,2021-02-14
CH,2020-11-17,0,1022,1022,2021-02-14
CH,2020-11-18,0,1035,1035,2021-02-14
CH,2020-11-19,0,878,878,2021-02-14
CH,2020-11-20,0,1006,1006,2021-02-14
CH,2020-11-21,0,1106,1106,2021-02-14
CH,2020-11-22,0,919,919,2021-02-14
CH,2020-11-23,0,879,879,2021-02-14
CH,2020-11-24,0,1076,1076,2021-02-14
CH,2020-11-25,0,1214,1214,2021-02-14
CH,2020-11-26,0,907,907,2021-02-14
CH,2020-11-27,0,917,917,2021-02-14
CH,2020-11-28,0,646,646,2021-02-14
CH,2020-11-29,0,891,891,2021-02-14
CH,2020-11-30,0,588,588,2021-02-14
CH,2020-12-01,0,819,819,2021-02-14
CH,2020-12-02,0,858,858,2021-02-14
CH,2020-12-03,0,778,778,2021-02-14
CH,2020-12-04,0,728,728,2021-02-14
CH,2020-12-05,0,511,511,2021-02-14
CH,2020-12-06,0,1063,1063,2021-02-14
CH,2020-12-07,0,247,247,2021-02-14
CH,2020-12-08,0,868,868,2021-02-14
CH,2020-12-09,0,441,441,2021-02-14
CH,2020-12-10,0,927,927,2021-02-14
CH,2020-12-11,0,1391,1391,2021-02-14
CH,2020-12-12,0,323,323,2021-02-14
CH,2020-12-13,0,650,650,2021-02-14
CH,2020-12-14,0,492,492,2021-02-14
CH,2020-12-15,0,950,950,2021-02-14
CH,2020-12-16,0,941,941,2021-02-14
CH,2020-12-17,0,474,474,2021-02-14
CH,2020-12-18,0,694,694,2021-02-14
CH,2020-12-19,0,561,561,2021-02-14
